image,labels
AU/N_0000000001_00002/original.png,AU/N_0000000001_00002/AU_26.png;AU/N_0000000001_00002/AU_4.png
AU/N_0000000001_00003/original.png,AU/N_0000000001_00003/AU_26.png
AU/N_0000000001_00004/original.png,AU/N_0000000001_00004/AU_1.png;AU/N_0000000001_00004/AU_12.png;AU/N_0000000001_00004/AU_4.png;AU/N_0000000001_00004/AU_5.png
AU/N_0000000001_00005/original.png,AU/N_0000000001_00005/AU_26.png
AU/N_0000000001_00006/original.png,AU/N_0000000001_00006/AU_25.png;AU/N_0000000001_00006/AU_4.png
AU/N_0000000001_00007/original.png,AU/N_0000000001_00007/AU_12.png;AU/N_0000000001_00007/AU_4.png
AU/N_0000000001_00010/original.png,AU/N_0000000001_00010/AU_12.png;AU/N_0000000001_00010/AU_25.png;AU/N_0000000001_00010/AU_6.png
AU/N_0000000001_00011/original.png,AU/N_0000000001_00011/AU_12.png;AU/N_0000000001_00011/AU_17.png
AU/N_0000000001_00019/original.png,AU/N_0000000001_00019/AU_12.png
AU/N_0000000001_00025/original.png,AU/N_0000000001_00025/AU_17.png;AU/N_0000000001_00025/AU_9.png
AU/N_0000000001_00026/original.png,AU/N_0000000001_00026/AU_12.png;AU/N_0000000001_00026/AU_25.png
AU/N_0000000001_00030/original.png,AU/N_0000000001_00030/AU_12.png;AU/N_0000000001_00030/AU_4.png
AU/N_0000000001_00034/original.png,AU/N_0000000001_00034/AU_15.png
AU/N_0000000001_00039/original.png,AU/N_0000000001_00039/AU_15.png
AU/N_0000000001_00041/original.png,AU/N_0000000001_00041/AU_12.png;AU/N_0000000001_00041/AU_25.png;AU/N_0000000001_00041/AU_26.png;AU/N_0000000001_00041/AU_6.png
AU/N_0000000001_00043/original.png,AU/N_0000000001_00043/AU_12.png;AU/N_0000000001_00043/AU_25.png
AU/N_0000000001_00046/original.png,AU/N_0000000001_00046/AU_1.png;AU/N_0000000001_00046/AU_15.png;AU/N_0000000001_00046/AU_25.png
AU/N_0000000001_00048/original.png,AU/N_0000000001_00048/AU_15.png;AU/N_0000000001_00048/AU_17.png;AU/N_0000000001_00048/AU_4.png
AU/N_0000000001_00051/original.png,AU/N_0000000001_00051/AU_12.png;AU/N_0000000001_00051/AU_25.png
AU/N_0000000001_00053/original.png,AU/N_0000000001_00053/AU_1.png;AU/N_0000000001_00053/AU_4.png
AU/N_0000000001_00057/original.png,AU/N_0000000001_00057/AU_25.png
AU/N_0000000001_00062/original.png,AU/N_0000000001_00062/AU_20.png;AU/N_0000000001_00062/AU_25.png;AU/N_0000000001_00062/AU_4.png
AU/N_0000000001_00066/original.png,AU/N_0000000001_00066/AU_15.png;AU/N_0000000001_00066/AU_4.png
AU/N_0000000001_00068/original.png,AU/N_0000000001_00068/AU_12.png;AU/N_0000000001_00068/AU_25.png
AU/N_0000000001_00069/original.png,AU/N_0000000001_00069/AU_12.png;AU/N_0000000001_00069/AU_25.png
AU/N_0000000001_00070/original.png,AU/N_0000000001_00070/AU_25.png
AU/N_0000000001_00072/original.png,AU/N_0000000001_00072/AU_25.png;AU/N_0000000001_00072/AU_5.png
AU/N_0000000001_00073/original.png,AU/N_0000000001_00073/AU_15.png;AU/N_0000000001_00073/AU_17.png
AU/N_0000000001_00077/original.png,AU/N_0000000001_00077/AU_12.png
AU/N_0000000001_00078/original.png,AU/N_0000000001_00078/AU_25.png
AU/N_0000000001_00079/original.png,AU/N_0000000001_00079/AU_12.png
AU/N_0000000001_00081/original.png,AU/N_0000000001_00081/AU_12.png;AU/N_0000000001_00081/AU_25.png
AU/N_0000000001_00083/original.png,AU/N_0000000001_00083/AU_25.png
AU/N_0000000001_00086/original.png,AU/N_0000000001_00086/AU_25.png;AU/N_0000000001_00086/AU_4.png
AU/N_0000000001_00089/original.png,AU/N_0000000001_00089/AU_15.png
AU/N_0000000001_00090/original.png,AU/N_0000000001_00090/AU_25.png
AU/N_0000000001_00091/original.png,AU/N_0000000001_00091/AU_17.png;AU/N_0000000001_00091/AU_4.png
AU/N_0000000001_00092/original.png,AU/N_0000000001_00092/AU_12.png;AU/N_0000000001_00092/AU_25.png
AU/N_0000000001_00093/original.png,AU/N_0000000001_00093/AU_1.png;AU/N_0000000001_00093/AU_15.png;AU/N_0000000001_00093/AU_4.png
AU/N_0000000001_00098/original.png,AU/N_0000000001_00098/AU_12.png;AU/N_0000000001_00098/AU_25.png;AU/N_0000000001_00098/AU_6.png
AU/N_0000000001_00102/original.png,AU/N_0000000001_00102/AU_12.png;AU/N_0000000001_00102/AU_25.png
AU/N_0000000001_00103/original.png,AU/N_0000000001_00103/AU_1.png;AU/N_0000000001_00103/AU_15.png;AU/N_0000000001_00103/AU_25.png;AU/N_0000000001_00103/AU_4.png
AU/N_0000000001_00104/original.png,AU/N_0000000001_00104/AU_12.png
AU/N_0000000001_00106/original.png,AU/N_0000000001_00106/AU_12.png;AU/N_0000000001_00106/AU_25.png;AU/N_0000000001_00106/AU_6.png
AU/N_0000000001_00111/original.png,AU/N_0000000001_00111/AU_25.png
AU/N_0000000001_00115/original.png,AU/N_0000000001_00115/AU_1.png;AU/N_0000000001_00115/AU_12.png;AU/N_0000000001_00115/AU_25.png
AU/N_0000000001_00116/original.png,AU/N_0000000001_00116/AU_17.png
AU/N_0000000001_00119/original.png,AU/N_0000000001_00119/AU_25.png
AU/N_0000000001_00120/original.png,AU/N_0000000001_00120/AU_12.png
AU/N_0000000001_00122/original.png,AU/N_0000000001_00122/AU_12.png;AU/N_0000000001_00122/AU_25.png
AU/N_0000000001_00123/original.png,AU/N_0000000001_00123/AU_12.png;AU/N_0000000001_00123/AU_25.png;AU/N_0000000001_00123/AU_6.png
AU/N_0000000001_00125/original.png,AU/N_0000000001_00125/AU_12.png;AU/N_0000000001_00125/AU_25.png;AU/N_0000000001_00125/AU_6.png
AU/N_0000000001_00126/original.png,AU/N_0000000001_00126/AU_1.png;AU/N_0000000001_00126/AU_25.png;AU/N_0000000001_00126/AU_26.png;AU/N_0000000001_00126/AU_4.png;AU/N_0000000001_00126/AU_5.png
AU/N_0000000001_00127/original.png,AU/N_0000000001_00127/AU_12.png;AU/N_0000000001_00127/AU_25.png;AU/N_0000000001_00127/AU_6.png
AU/N_0000000001_00128/original.png,AU/N_0000000001_00128/AU_12.png;AU/N_0000000001_00128/AU_25.png;AU/N_0000000001_00128/AU_6.png
AU/N_0000000001_00130/original.png,AU/N_0000000001_00130/AU_1.png;AU/N_0000000001_00130/AU_15.png;AU/N_0000000001_00130/AU_17.png;AU/N_0000000001_00130/AU_25.png;AU/N_0000000001_00130/AU_26.png;AU/N_0000000001_00130/AU_5.png
AU/N_0000000001_00131/original.png,AU/N_0000000001_00131/AU_12.png;AU/N_0000000001_00131/AU_25.png
AU/N_0000000001_00132/original.png,AU/N_0000000001_00132/AU_1.png;AU/N_0000000001_00132/AU_15.png;AU/N_0000000001_00132/AU_25.png;AU/N_0000000001_00132/AU_4.png
AU/N_0000000001_00133/original.png,AU/N_0000000001_00133/AU_12.png
AU/N_0000000001_00136/original.png,AU/N_0000000001_00136/AU_4.png
