image,labels
attributes/000001/original.png,attributes/000001/Arched_Eyebrows.png;attributes/000001/High_Cheekbones.png;attributes/000001/Mouth_Slightly_Open.png;attributes/000001/No_Beard.png;attributes/000001/Pointy_Nose.png;attributes/000001/Smiling.png;attributes/000001/Wearing_Lipstick.png
attributes/000002/original.png,attributes/000002/Bags_Under_Eyes.png;attributes/000002/Big_Nose.png;attributes/000002/High_Cheekbones.png;attributes/000002/Mouth_Slightly_Open.png;attributes/000002/No_Beard.png;attributes/000002/Smiling.png
attributes/000003/original.png,attributes/000003/Big_Lips.png;attributes/000003/Narrow_Eyes.png;attributes/000003/No_Beard.png;attributes/000003/Pointy_Nose.png
attributes/000004/original.png,attributes/000004/No_Beard.png;attributes/000004/Pointy_Nose.png;attributes/000004/Wearing_Lipstick.png
attributes/000005/original.png,attributes/000005/Arched_Eyebrows.png;attributes/000005/Big_Lips.png;attributes/000005/Narrow_Eyes.png;attributes/000005/No_Beard.png;attributes/000005/Pointy_Nose.png;attributes/000005/Wearing_Lipstick.png
attributes/000006/original.png,attributes/000006/Arched_Eyebrows.png;attributes/000006/Big_Lips.png;attributes/000006/Mouth_Slightly_Open.png;attributes/000006/No_Beard.png;attributes/000006/Wearing_Lipstick.png
attributes/000007/original.png,attributes/000007/5_o_Clock_Shadow.png;attributes/000007/Bags_Under_Eyes.png;attributes/000007/Big_Lips.png;attributes/000007/Big_Nose.png;attributes/000007/Bushy_Eyebrows.png;attributes/000007/No_Beard.png;attributes/000007/Pointy_Nose.png
attributes/000008/original.png,attributes/000008/5_o_Clock_Shadow.png;attributes/000008/Arched_Eyebrows.png;attributes/000008/Bags_Under_Eyes.png;attributes/000008/Big_Lips.png;attributes/000008/No_Beard.png;attributes/000008/Pointy_Nose.png
attributes/000009/original.png,attributes/000009/Arched_Eyebrows.png;attributes/000009/Big_Lips.png;attributes/000009/High_Cheekbones.png;attributes/000009/Mouth_Slightly_Open.png;attributes/000009/No_Beard.png;attributes/000009/Pointy_Nose.png;attributes/000009/Rosy_Cheeks.png;attributes/000009/Smiling.png;attributes/000009/Wearing_Lipstick.png
attributes/000010/original.png,attributes/000010/High_Cheekbones.png;attributes/000010/No_Beard.png;attributes/000010/Wearing_Lipstick.png
attributes/000011/original.png,attributes/000011/Mouth_Slightly_Open.png;attributes/000011/No_Beard.png;attributes/000011/Smiling.png
attributes/000012/original.png,attributes/000012/Bags_Under_Eyes.png;attributes/000012/Bushy_Eyebrows.png;attributes/000012/High_Cheekbones.png;attributes/000012/Mouth_Slightly_Open.png;attributes/000012/No_Beard.png;attributes/000012/Smiling.png
attributes/000013/original.png,attributes/000013/High_Cheekbones.png;attributes/000013/Mouth_Slightly_Open.png;attributes/000013/No_Beard.png;attributes/000013/Smiling.png
attributes/000014/original.png,attributes/000014/Arched_Eyebrows.png;attributes/000014/Big_Nose.png;attributes/000014/Bushy_Eyebrows.png;attributes/000014/High_Cheekbones.png;attributes/000014/No_Beard.png;attributes/000014/Smiling.png;attributes/000014/Wearing_Lipstick.png
attributes/000015/original.png,attributes/000015/5_o_Clock_Shadow.png;attributes/000015/Bags_Under_Eyes.png;attributes/000015/Big_Nose.png;attributes/000015/Narrow_Eyes.png;attributes/000015/No_Beard.png
