image,labels
parts/200744/original.png,parts/200744/left_brow.png;parts/200744/left_cheek.png;parts/200744/left_eye.png;parts/200744/mouth.png;parts/200744/nose.png;parts/200744/right_brow.png;parts/200744/right_cheek.png;parts/200744/right_eye.png
parts/064630/original.png,parts/064630/left_brow.png;parts/064630/left_cheek.png;parts/064630/left_eye.png;parts/064630/mouth.png;parts/064630/nose.png;parts/064630/right_brow.png;parts/064630/right_cheek.png;parts/064630/right_eye.png
parts/145952/original.png,parts/145952/left_brow.png;parts/145952/left_cheek.png;parts/145952/left_eye.png;parts/145952/mouth.png;parts/145952/nose.png;parts/145952/right_brow.png;parts/145952/right_cheek.png;parts/145952/right_eye.png
parts/176863/original.png,parts/176863/left_brow.png;parts/176863/left_cheek.png;parts/176863/left_eye.png;parts/176863/mouth.png;parts/176863/nose.png;parts/176863/right_brow.png;parts/176863/right_cheek.png;parts/176863/right_eye.png
parts/114422/original.png,parts/114422/left_brow.png;parts/114422/left_cheek.png;parts/114422/left_eye.png;parts/114422/mouth.png;parts/114422/nose.png;parts/114422/right_brow.png;parts/114422/right_cheek.png;parts/114422/right_eye.png
parts/117975/original.png,parts/117975/left_brow.png;parts/117975/left_cheek.png;parts/117975/left_eye.png;parts/117975/mouth.png;parts/117975/nose.png;parts/117975/right_brow.png;parts/117975/right_cheek.png;parts/117975/right_eye.png
parts/100742/original.png,parts/100742/left_brow.png;parts/100742/left_cheek.png;parts/100742/left_eye.png;parts/100742/mouth.png;parts/100742/nose.png;parts/100742/right_brow.png;parts/100742/right_cheek.png;parts/100742/right_eye.png
parts/079453/original.png,parts/079453/left_brow.png;parts/079453/left_cheek.png;parts/079453/left_eye.png;parts/079453/mouth.png;parts/079453/nose.png;parts/079453/right_brow.png;parts/079453/right_cheek.png;parts/079453/right_eye.png
parts/105201/original.png,parts/105201/left_brow.png;parts/105201/left_cheek.png;parts/105201/left_eye.png;parts/105201/mouth.png;parts/105201/nose.png;parts/105201/right_brow.png;parts/105201/right_cheek.png;parts/105201/right_eye.png
parts/086048/original.png,parts/086048/left_brow.png;parts/086048/left_cheek.png;parts/086048/left_eye.png;parts/086048/mouth.png;parts/086048/nose.png;parts/086048/right_brow.png;parts/086048/right_cheek.png;parts/086048/right_eye.png
parts/076199/original.png,parts/076199/left_brow.png;parts/076199/left_cheek.png;parts/076199/left_eye.png;parts/076199/mouth.png;parts/076199/nose.png;parts/076199/right_brow.png;parts/076199/right_cheek.png;parts/076199/right_eye.png
parts/190633/original.png,parts/190633/left_brow.png;parts/190633/left_cheek.png;parts/190633/left_eye.png;parts/190633/mouth.png;parts/190633/nose.png;parts/190633/right_brow.png;parts/190633/right_cheek.png;parts/190633/right_eye.png
parts/167574/original.png,parts/167574/left_brow.png;parts/167574/left_cheek.png;parts/167574/left_eye.png;parts/167574/mouth.png;parts/167574/nose.png;parts/167574/right_brow.png;parts/167574/right_cheek.png;parts/167574/right_eye.png
parts/190127/original.png,parts/190127/left_brow.png;parts/190127/left_cheek.png;parts/190127/left_eye.png;parts/190127/mouth.png;parts/190127/nose.png;parts/190127/right_brow.png;parts/190127/right_cheek.png;parts/190127/right_eye.png
parts/121315/original.png,parts/121315/left_brow.png;parts/121315/left_cheek.png;parts/121315/left_eye.png;parts/121315/mouth.png;parts/121315/nose.png;parts/121315/right_brow.png;parts/121315/right_cheek.png;parts/121315/right_eye.png
parts/115359/original.png,parts/115359/left_brow.png;parts/115359/left_cheek.png;parts/115359/left_eye.png;parts/115359/mouth.png;parts/115359/nose.png;parts/115359/right_brow.png;parts/115359/right_cheek.png;parts/115359/right_eye.png
parts/046651/original.png,parts/046651/left_brow.png;parts/046651/left_cheek.png;parts/046651/left_eye.png;parts/046651/mouth.png;parts/046651/nose.png;parts/046651/right_brow.png;parts/046651/right_cheek.png;parts/046651/right_eye.png
parts/039014/original.png,parts/039014/left_brow.png;parts/039014/left_cheek.png;parts/039014/left_eye.png;parts/039014/mouth.png;parts/039014/nose.png;parts/039014/right_brow.png;parts/039014/right_cheek.png;parts/039014/right_eye.png
parts/092849/original.png,parts/092849/left_brow.png;parts/092849/left_cheek.png;parts/092849/left_eye.png;parts/092849/mouth.png;parts/092849/nose.png;parts/092849/right_brow.png;parts/092849/right_cheek.png;parts/092849/right_eye.png
parts/098302/original.png,parts/098302/left_brow.png;parts/098302/left_cheek.png;parts/098302/left_eye.png;parts/098302/mouth.png;parts/098302/nose.png;parts/098302/right_brow.png;parts/098302/right_cheek.png;parts/098302/right_eye.png
parts/121452/original.png,parts/121452/left_brow.png;parts/121452/left_cheek.png;parts/121452/left_eye.png;parts/121452/mouth.png;parts/121452/nose.png;parts/121452/right_brow.png;parts/121452/right_cheek.png;parts/121452/right_eye.png
parts/088727/original.png,parts/088727/left_brow.png;parts/088727/left_cheek.png;parts/088727/left_eye.png;parts/088727/mouth.png;parts/088727/nose.png;parts/088727/right_brow.png;parts/088727/right_cheek.png;parts/088727/right_eye.png
parts/014794/original.png,parts/014794/left_brow.png;parts/014794/left_cheek.png;parts/014794/left_eye.png;parts/014794/mouth.png;parts/014794/nose.png;parts/014794/right_brow.png;parts/014794/right_cheek.png;parts/014794/right_eye.png
parts/037552/original.png,parts/037552/left_brow.png;parts/037552/left_cheek.png;parts/037552/left_eye.png;parts/037552/mouth.png;parts/037552/nose.png;parts/037552/right_brow.png;parts/037552/right_cheek.png;parts/037552/right_eye.png
parts/120591/original.png,parts/120591/left_brow.png;parts/120591/left_cheek.png;parts/120591/left_eye.png;parts/120591/mouth.png;parts/120591/nose.png;parts/120591/right_brow.png;parts/120591/right_cheek.png;parts/120591/right_eye.png
parts/015672/original.png,parts/015672/left_brow.png;parts/015672/left_cheek.png;parts/015672/left_eye.png;parts/015672/mouth.png;parts/015672/nose.png;parts/015672/right_brow.png;parts/015672/right_cheek.png;parts/015672/right_eye.png
parts/102536/original.png,parts/102536/left_brow.png;parts/102536/left_cheek.png;parts/102536/left_eye.png;parts/102536/mouth.png;parts/102536/nose.png;parts/102536/right_brow.png;parts/102536/right_cheek.png;parts/102536/right_eye.png
parts/110484/original.png,parts/110484/left_brow.png;parts/110484/left_cheek.png;parts/110484/left_eye.png;parts/110484/mouth.png;parts/110484/nose.png;parts/110484/right_brow.png;parts/110484/right_cheek.png;parts/110484/right_eye.png
parts/067060/original.png,parts/067060/left_brow.png;parts/067060/left_cheek.png;parts/067060/left_eye.png;parts/067060/mouth.png;parts/067060/nose.png;parts/067060/right_brow.png;parts/067060/right_cheek.png;parts/067060/right_eye.png
parts/039213/original.png,parts/039213/left_brow.png;parts/039213/left_cheek.png;parts/039213/left_eye.png;parts/039213/mouth.png;parts/039213/nose.png;parts/039213/right_brow.png;parts/039213/right_cheek.png;parts/039213/right_eye.png
parts/038273/original.png,parts/038273/left_brow.png;parts/038273/left_cheek.png;parts/038273/left_eye.png;parts/038273/mouth.png;parts/038273/nose.png;parts/038273/right_brow.png;parts/038273/right_cheek.png;parts/038273/right_eye.png
